FileNum,Mileage,Color,AcquistionCost,SalesPrice,SoldOn,MMRAvgValue,Year,MakeName,ModelName,StyleName,AddrZip,TagDisplayName
30758,126309,Black,0,13000,12-09-2018,12100,2013,Jeep,Grand Cherokee,4x4 Laredo X 4dr SUV,92660,NULL
30759,152958,Gray,0,2300,12-09-2018,1275,2010,MINI,Cooper,Base 2dr Hatchback,92660,NULL
30757,66668,Silver,0,2800,12-09-2018,2025,2006,Volkswagen,Jetta,2.5 PZEV 4dr Sedan w/Manual,92660,NULL
30715,70504,DarkBlue,10500,9600,12-09-2018,0,2010,BMW,3 Series,AWD 328i xDrive 4dr Wagon,92833,NULL
30761,61608,Silver,11500,10750,12-09-2018,10750,2016,Ford,Fusion,SE 4dr Sedan,92833,NULL
30720,62841,Black,13000,NULL,12-09-2018,10750,2013,BMW,3 Series,328i 4dr Sedan,90001,NULL
30716,98277,White,4000,4100,12-09-2018,3825,2008,BMW,3 Series,328i 4dr Sedan SULEV,92833,NULL
30724,167886,Silver,4500,3800,12-09-2018,3750,2009,Infiniti,G37 Sedan,Base 4dr Sedan,90001,NULL
30717,94951,Gray,4500,3500,12-09-2018,6900,2003,GMC,Sierra 1500,4dr Extended Cab RWD SB,90001,NULL
30723,26520,Black,12700,NULL,12-09-2018,13200,2015,Honda,Accord,LX 4dr Sedan CVT,90001,NULL
30145,97966,Silver,4233,3900,12-09-2018,4725,2012,Chevrolet,Cruze,4dr Sdn LT w/1LT,90266,NULL
30628,192531,LightBlue,3200,3100,12-09-2018,2175,2010,Subaru,Outback,AWD 2.5i Premium 4dr Wagon CVT,92832,NULL
29902,70662,White,5000,NULL,12-09-2018,5300,2013,Nissan,Sentra,4dr Sdn I4 CVT SV,90801,Frame Damage
29460,66926,Black,11233,11500,12-09-2018,11050,2011,BMW,5 Series Gran Turismo,5dr 535i Gran Turismo RWD,90266,NULL
30627,97483,White,1200,2000,12-09-2018,3900,2002,Mercedes-Benz,M-Class,AWD ML 500 4MATIC 4dr SUV,92832,NULL
30445,170890,Silver,1300,900,12-09-2018,775,2003,Nissan,Maxima,4dr Sdn SE Auto,90266,NULL
30533,97751,White,9000,9750,12-09-2018,7975,2009,Audi,Q7,AWD 3.6 quattro 4dr SUV,90015,NULL
30730,125507,LightBlue,7000,7200,12-09-2018,7800,2013,Mercedes-Benz,C-Class,C 250 Sport 4dr Sedan,90015,NULL
30651,19027,Silver,8000,9000,12-09-2018,8000,2012,Nissan,Altima,2dr Cpe I4 CVT 2.5 S,90015,NULL
26866,101442,Silver,7000,NULL,12-09-2018,6825,2012,MINI,Cooper Countryman,FWD 4dr S,90015,NULL
29242,121777,Silver,2375,1700,12-09-2018,2700,2006,Toyota,Corolla,4dr Sdn LE Auto,90266,NULL
29179,64711,Black,5000,1700,12-09-2018,5975,2013,Dodge,Dart,Rallye 4dr Sedan,90621,NULL
29172,99677,Black,2000,1000,12-09-2018,4800,2010,Audi,A4,2.0T Premium 4dr Sedan,90621,Frame Damage
29918,157239,Silver,2000,3000,12-09-2018,2500,2004,Toyota,Sienna,5dr LE AWD,90801,NULL
30725,78106,White,9000,11750,12-09-2018,9525,2008,Toyota,Highlander Hybrid,AWD Limited 4dr SUV,92833,NULL
30616,84779,Black,4000,4400,19-09-2018,4025,2011,Chevrolet,Cruze,LS 4dr Sedan,95051,NULL
30614,131301,Black,7500,7700,19-09-2018,7575,2010,Lexus,IS 250,4dr Sedan 6A,95051,NULL
30731,86852,Black,6000,7300,19-09-2018,7025,2009,Mercedes-Benz,C-Class,C 300 Sport 4dr Sedan,90015,NULL
30626,158063,DarkBlue,3000,2300,19-09-2018,4175,2010,Subaru,Forester,AWD 2.5X Premium 4dr Wagon 4A,92832,NULL
30727,115380,Silver,2500,3000,19-09-2018,2950,2009,Nissan,Altima,2.5 S 4dr Sedan CVT,92806,NULL
30802,0,Tan,0,5900,19-09-2018,5000,2015,Kia,Forte,LX 4dr Sedan 6A,95051,NULL
30733,200000,Black,250,550,14-09-2018,650,2002,Ford,Expedition,XLT 2WD 4dr SUV,92806,NULL
30732,219443,Black,350,900,14-09-2018,550,2000,Mercedes-Benz,E-Class,E 320 4dr Sedan,92806,NULL
30639,221287,Black,1200,1500,14-09-2018,800,2004,Mercedes-Benz,E-Class,E 320 4dr Sedan,90015,NULL
